Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
143,2,2014-09-30,10167,850,1,1,0,0
146,2,2014-09-30,12178,907,1,1,0,0
147,2,2014-09-30,10917,994,1,1,0,0
148,2,2014-09-30,9980,871,1,1,0,0
150,2,2014-09-30,10038,891,1,1,0,0
151,2,2014-09-30,10283,834,1,1,0,0
152,2,2014-09-30,8418,825,1,1,0,0
153,2,2014-09-30,7631,746,1,1,0,0
154,2,2014-09-30,10820,827,1,1,0,0
156,2,2014-09-30,10344,946,1,1,0,0
157,2,2014-09-30,12111,1166,1,1,0,0
158,2,2014-09-30,9358,547,1,1,0,0
160,2,2014-09-30,7392,629,1,1,0,0
161,2,2014-09-30,8575,903,1,1,0,0
162,2,2014-09-30,12284,719,1,1,0,0
163,2,2014-09-30,7641,887,1,1,0,0
166,2,2014-09-30,7520,950,1,1,0,0
167,2,2014-09-30,13790,1398,1,1,0,0
168,2,2014-09-30,9530,886,1,1,0,0
169,2,2014-09-30,7365,654,1,1,0,0
170,2,2014-09-30,7449,720,1,1,0,0
171,2,2014-09-30,11853,1131,1,1,0,0
173,2,2014-09-30,11432,1270,1,1,0,0
175,2,2014-09-30,7345,772,1,1,0,0
176,2,2014-09-30,7624,826,1,1,0,0
177,2,2014-09-30,6563,673,1,1,0,0
178,2,2014-09-30,14667,1176,1,1,0,0
179,2,2014-09-30,12102,1338,1,1,0,0
180,2,2014-09-30,9160,935,1,1,0,0
182,2,2014-09-30,6554,474,1,1,0,0
184,2,2014-09-30,8753,721,1,1,0,0
185,2,2014-09-30,8189,585,1,1,0,0
187,2,2014-09-30,8580,962,1,1,0,0
188,2,2014-09-30,6347,509,1,1,0,0
189,2,2014-09-30,10250,909,1,1,0,0
193,2,2014-09-30,6866,876,1,1,0,0
194,2,2014-09-30,5957,469,1,1,0,0
195,2,2014-09-30,13443,1493,1,1,0,0
196,2,2014-09-30,8857,949,1,1,0,0
197,2,2014-09-30,8574,947,1,1,0,0
198,2,2014-09-30,6113,665,1,1,0,0
199,2,2014-09-30,10083,738,1,1,0,0
200,2,2014-09-30,10655,1156,1,1,0,0
201,2,2014-09-30,6061,469,1,1,0,0
202,2,2014-09-30,6873,567,1,1,0,0
203,2,2014-09-30,8053,986,1,1,0,0
205,2,2014-09-30,8617,1003,1,1,0,0
206,2,2014-09-30,11976,1145,1,1,0,0
207,2,2014-09-30,14888,1549,1,1,0,0
208,2,2014-09-30,4139,485,1,1,0,0
209,2,2014-09-30,7293,648,1,1,0,0
210,2,2014-09-30,4036,373,1,1,0,0
211,2,2014-09-30,15782,1670,1,1,0,0
212,2,2014-09-30,5975,541,1,1,0,0
213,2,2014-09-30,13828,881,1,1,0,0
214,2,2014-09-30,12567,787,1,1,0,0
216,2,2014-09-30,9871,1094,1,1,0,0
217,2,2014-09-30,7115,763,1,1,0,0
219,2,2014-09-30,3988,494,1,1,0,0
220,2,2014-09-30,6476,762,1,1,0,0
221,2,2014-09-30,7147,604,1,1,0,0
222,2,2014-09-30,6441,678,1,1,0,0
223,2,2014-09-30,11586,995,1,1,0,0
224,2,2014-09-30,9230,603,1,1,0,0
225,2,2014-09-30,6002,637,1,1,0,0
226,2,2014-09-30,10599,936,1,1,0,0
227,2,2014-09-30,8047,665,1,1,0,0
228,2,2014-09-30,8853,618,1,1,0,0
229,2,2014-09-30,14379,996,1,1,0,0
230,2,2014-09-30,9903,1071,1,1,0,0
232,2,2014-09-30,4104,330,1,1,0,0
233,2,2014-09-30,11190,1175,1,1,0,0
234,2,2014-09-30,16265,1315,1,1,0,0
235,2,2014-09-30,10813,732,1,1,0,0
236,2,2014-09-30,9820,1096,1,1,0,0
237,2,2014-09-30,4890,633,1,1,0,0
238,2,2014-09-30,11349,1426,1,1,0,0
239,2,2014-09-30,6215,501,1,1,0,0
240,2,2014-09-30,5528,506,1,1,0,0
241,2,2014-09-30,8490,834,1,1,0,0
242,2,2014-09-30,5810,465,1,1,0,0
244,2,2014-09-30,9835,776,1,1,0,0
245,2,2014-09-30,11655,1244,1,1,0,0
246,2,2014-09-30,9258,1096,1,1,0,0
247,2,2014-09-30,10814,803,1,1,0,0
248,2,2014-09-30,10875,1319,1,1,0,0
249,2,2014-09-30,6795,637,1,1,0,0
250,2,2014-09-30,10141,729,1,1,0,0
251,2,2014-09-30,22456,2696,1,1,0,0
252,2,2014-09-30,14144,972,1,1,0,0
253,2,2014-09-30,8115,895,1,1,0,0
254,2,2014-09-30,4414,337,1,1,0,0
255,2,2014-09-30,7314,662,1,1,0,0
256,2,2014-09-30,15097,1684,1,1,0,0
257,2,2014-09-30,6783,757,1,1,0,0
259,2,2014-09-30,13418,2662,1,1,0,0
260,2,2014-09-30,7448,989,1,1,0,0
261,2,2014-09-30,21807,1384,1,1,0,0
262,2,2014-09-30,20874,3169,1,1,0,0
264,2,2014-09-30,9860,1111,1,1,0,0
265,2,2014-09-30,6580,623,1,1,0,0
266,2,2014-09-30,4862,588,1,1,0,0
267,2,2014-09-30,10029,1080,1,1,0,0
268,2,2014-09-30,6735,681,1,1,0,0
269,2,2014-09-30,15004,1706,1,1,0,0
270,2,2014-09-30,10396,1302,1,1,0,0
271,2,2014-09-30,14147,1257,1,1,0,0
272,2,2014-09-30,11019,925,1,1,0,0
273,2,2014-09-30,9572,841,1,1,0,0
274,2,2014-09-30,4399,1041,1,1,0,0
276,2,2014-09-30,6502,733,1,1,0,0
278,2,2014-09-30,8239,799,1,1,0,0
280,2,2014-09-30,6895,592,1,1,0,0
281,2,2014-09-30,6726,569,1,1,0,0
282,2,2014-09-30,5807,766,1,1,0,0
285,2,2014-09-30,6303,536,1,1,0,0
286,2,2014-09-30,6894,557,1,1,0,0
289,2,2014-09-30,6900,596,1,1,0,0
290,2,2014-09-30,10111,896,1,1,0,0
291,2,2014-09-30,11320,1101,1,1,0,0
292,2,2014-09-30,7464,827,1,1,0,0
293,2,2014-09-30,9138,1028,1,1,0,0
294,2,2014-09-30,8591,1045,1,1,0,0
295,2,2014-09-30,6610,780,1,1,0,0
296,2,2014-09-30,10010,984,1,1,0,0
297,2,2014-09-30,9004,838,1,1,0,0
299,2,2014-09-30,7401,782,1,1,0,0
300,2,2014-09-30,11482,1145,1,1,0,0
301,2,2014-09-30,6969,672,1,1,0,0
302,2,2014-09-30,4170,333,1,1,0,0
303,2,2014-09-30,8319,814,1,1,0,0
304,2,2014-09-30,10812,1373,1,1,0,0
305,2,2014-09-30,6995,602,1,1,0,0
307,2,2014-09-30,4227,430,1,1,0,0
308,2,2014-09-30,14740,1236,1,1,0,0
309,2,2014-09-30,9817,732,1,1,0,0
310,2,2014-09-30,11174,813,1,1,0,0
311,2,2014-09-30,9543,1039,1,1,0,0
312,2,2014-09-30,7153,587,1,1,0,0
313,2,2014-09-30,9244,857,1,1,0,0
314,2,2014-09-30,7169,720,1,1,0,0
315,2,2014-09-30,6012,539,1,1,0,0
316,2,2014-09-30,12925,1057,1,1,0,0
318,2,2014-09-30,8137,666,1,1,0,0
319,2,2014-09-30,10148,932,1,1,0,0
320,2,2014-09-30,18917,2405,1,1,0,0
321,2,2014-09-30,6868,613,1,1,0,0
322,2,2014-09-30,9183,883,1,1,0,0
323,2,2014-09-30,8802,663,1,1,0,0
324,2,2014-09-30,11915,1291,1,1,0,0
325,2,2014-09-30,8220,750,1,1,0,0
326,2,2014-09-30,5161,410,1,1,0,0
327,2,2014-09-30,11771,1265,1,1,0,0
328,2,2014-09-30,5653,633,1,1,0,0
329,2,2014-09-30,9692,796,1,1,0,0
330,2,2014-09-30,4883,503,1,1,0,0
331,2,2014-09-30,8006,995,1,1,0,0
332,2,2014-09-30,5342,635,1,1,0,0
333,2,2014-09-30,12710,1530,1,1,0,0
334,2,2014-09-30,6817,601,1,1,0,0
335,2,2014-09-30,25902,3494,1,1,0,0
336,2,2014-09-30,17885,2243,1,1,0,0
337,2,2014-09-30,4565,373,1,1,0,0
338,2,2014-09-30,11312,818,1,1,0,0
339,2,2014-09-30,5713,714,1,1,0,0
340,2,2014-09-30,8082,812,1,1,0,0
341,2,2014-09-30,7886,920,1,1,0,0
343,2,2014-09-30,11759,941,1,1,0,0
344,2,2014-09-30,13107,1493,1,1,0,0
346,2,2014-09-30,8422,704,1,1,0,0
347,2,2014-09-30,4929,385,1,1,0,0
349,2,2014-09-30,9041,859,1,1,0,0
350,2,2014-09-30,10227,694,1,1,0,0
351,2,2014-09-30,7882,625,1,1,0,0
352,2,2014-09-30,7418,644,1,1,0,0
353,2,2014-09-30,5998,1546,1,1,0,0
354,2,2014-09-30,10839,799,1,1,0,0
355,2,2014-09-30,12670,1374,1,1,0,0
356,2,2014-09-30,5967,442,1,1,0,0
357,2,2014-09-30,11571,1343,1,1,0,0
358,2,2014-09-30,13913,1322,1,1,0,0
359,2,2014-09-30,7557,625,1,1,0,0
360,2,2014-09-30,9363,892,1,1,0,0
361,2,2014-09-30,8113,690,1,1,0,0
362,2,2014-09-30,12040,1306,1,1,0,0
363,2,2014-09-30,9797,1125,1,1,0,0
364,2,2014-09-30,6077,701,1,1,0,0
366,2,2014-09-30,9209,812,1,1,0,0
367,2,2014-09-30,7247,659,1,1,0,0
368,2,2014-09-30,12834,851,1,1,0,0
369,2,2014-09-30,7024,606,1,1,0,0
370,2,2014-09-30,12224,831,1,1,0,0
371,2,2014-09-30,8632,657,1,1,0,0
372,2,2014-09-30,13678,995,1,1,0,0
373,2,2014-09-30,5896,346,1,1,0,0
374,2,2014-09-30,9119,985,1,1,0,0
375,2,2014-09-30,17107,1263,1,1,0,0
376,2,2014-09-30,11789,1131,1,1,0,0
377,2,2014-09-30,10399,1172,1,1,0,0
378,2,2014-09-30,9327,1229,1,1,0,0
379,2,2014-09-30,6108,628,1,1,0,0
380,2,2014-09-30,18909,1621,1,1,0,0
381,2,2014-09-30,10925,1098,1,1,0,0
382,2,2014-09-30,10929,788,1,1,0,0
383,2,2014-09-30,21824,2523,1,1,0,0
384,2,2014-09-30,16378,1564,1,1,0,0
386,2,2014-09-30,13122,913,1,1,0,0
387,2,2014-09-30,13157,1411,1,1,0,0
388,2,2014-09-30,14648,1342,1,1,0,0
389,2,2014-09-30,12282,1410,1,1,0,0
390,2,2014-09-30,14788,1215,1,1,0,0
391,2,2014-09-30,8386,912,1,1,0,0
392,2,2014-09-30,10368,900,1,1,0,0
393,2,2014-09-30,7771,713,1,1,0,0
394,2,2014-09-30,9691,688,1,1,0,0
395,2,2014-09-30,5456,631,1,1,0,0
396,2,2014-09-30,14708,1453,1,1,0,0
397,2,2014-09-30,8086,930,1,1,0,0
398,2,2014-09-30,9501,834,1,1,0,0
400,2,2014-09-30,15468,1715,1,1,0,0
401,2,2014-09-30,13287,1038,1,1,0,0
402,2,2014-09-30,8014,725,1,1,0,0
403,2,2014-09-30,10040,887,1,1,0,0
404,2,2014-09-30,5786,693,1,1,0,0
405,2,2014-09-30,7701,717,1,1,0,0
406,2,2014-09-30,7888,562,1,1,0,0
408,2,2014-09-30,5480,471,1,1,0,0
409,2,2014-09-30,8570,758,1,1,0,0
410,2,2014-09-30,8555,982,1,1,0,0
411,2,2014-09-30,11935,787,1,1,0,0
414,2,2014-09-30,8195,547,1,1,0,0
415,2,2014-09-30,7361,550,1,1,0,0
416,2,2014-09-30,12280,1498,1,1,0,0
417,2,2014-09-30,13608,1130,1,1,0,0
418,2,2014-09-30,7960,740,1,1,0,0
419,2,2014-09-30,8136,1153,1,1,0,0
421,2,2014-09-30,11755,1075,1,1,0,0
422,2,2014-09-30,4888,462,1,1,0,0
423,2,2014-09-30,10309,1765,1,1,0,0
424,2,2014-09-30,11501,1045,1,1,0,0
425,2,2014-09-30,4743,590,1,1,0,0
426,2,2014-09-30,6847,771,1,1,0,0
431,2,2014-09-30,11672,1095,1,1,0,0
432,2,2014-09-30,12702,1686,1,1,0,0
433,2,2014-09-30,7898,797,1,1,0,0
435,2,2014-09-30,4188,441,1,1,0,0
436,2,2014-09-30,7033,726,1,1,0,0
437,2,2014-09-30,9333,773,1,1,0,0
438,2,2014-09-30,10057,808,1,1,0,0
439,2,2014-09-30,10902,1151,1,1,0,0
440,2,2014-09-30,6618,684,1,1,0,0
441,2,2014-09-30,8410,799,1,1,0,0
442,2,2014-09-30,5006,501,1,1,0,0
443,2,2014-09-30,6762,596,1,1,0,0
444,2,2014-09-30,12625,1324,1,1,0,0
445,2,2014-09-30,8775,1258,1,1,0,0
446,2,2014-09-30,7385,827,1,1,0,0
447,2,2014-09-30,6186,630,1,1,0,0
448,2,2014-09-30,10846,857,1,1,0,0
449,2,2014-09-30,16994,1934,1,1,0,0
450,2,2014-09-30,10285,1102,1,1,0,0
451,2,2014-09-30,9001,630,1,1,0,0
452,2,2014-09-30,5923,517,1,1,0,0
453,2,2014-09-30,9300,973,1,1,0,0
454,2,2014-09-30,8917,925,1,1,0,0
455,2,2014-09-30,7807,451,1,1,0,0
456,2,2014-09-30,8358,1129,1,1,0,0
458,2,2014-09-30,8796,712,1,1,0,0
459,2,2014-09-30,14910,1535,1,1,0,0
460,2,2014-09-30,5394,469,1,1,0,0
461,2,2014-09-30,6160,576,1,1,0,0
462,2,2014-09-30,7267,823,1,1,0,0
463,2,2014-09-30,8191,1145,1,1,0,0
464,2,2014-09-30,10704,1142,1,1,0,0
465,2,2014-09-30,9496,695,1,1,0,0
466,2,2014-09-30,10017,930,1,1,0,0
467,2,2014-09-30,17623,1916,1,1,0,0
468,2,2014-09-30,5804,602,1,1,0,0
469,2,2014-09-30,15898,1767,1,1,0,0
470,2,2014-09-30,20022,2385,1,1,0,0
472,2,2014-09-30,6220,741,1,1,0,0
473,2,2014-09-30,5148,614,1,1,0,0
474,2,2014-09-30,11413,927,1,1,0,0
475,2,2014-09-30,7620,1036,1,1,0,0
476,2,2014-09-30,7561,796,1,1,0,0
478,2,2014-09-30,10361,941,1,1,0,0
479,2,2014-09-30,15952,1719,1,1,0,0
480,2,2014-09-30,7350,826,1,1,0,0
481,2,2014-09-30,6479,583,1,1,0,0
482,2,2014-09-30,9691,948,1,1,0,0
483,2,2014-09-30,9826,1103,1,1,0,0
484,2,2014-09-30,7597,680,1,1,0,0
486,2,2014-09-30,7704,745,1,1,0,0
487,2,2014-09-30,10363,876,1,1,0,0
488,2,2014-09-30,4105,397,1,1,0,0
489,2,2014-09-30,14541,1100,1,1,0,0
491,2,2014-09-30,8328,604,1,1,0,0
493,2,2014-09-30,13963,1111,1,1,0,0
494,2,2014-09-30,11037,1345,1,1,0,0
495,2,2014-09-30,7636,514,1,1,0,0
496,2,2014-09-30,10284,928,1,1,0,0
497,2,2014-09-30,10256,1213,1,1,0,0
499,2,2014-09-30,5569,721,1,1,0,0
502,2,2014-09-30,17770,1993,1,1,0,0
503,2,2014-09-30,10394,666,1,1,0,0
504,2,2014-09-30,10365,1200,1,1,0,0
505,2,2014-09-30,5920,648,1,1,0,0
506,2,2014-09-30,10535,1018,1,1,0,0
507,2,2014-09-30,14035,914,1,1,0,0
508,2,2014-09-30,11571,986,1,1,0,0
509,2,2014-09-30,11069,769,1,1,0,0
510,2,2014-09-30,10907,1042,1,1,0,0
511,2,2014-09-30,6812,882,1,1,0,0
513,2,2014-09-30,20860,2248,1,1,0,0
515,2,2014-09-30,10572,765,1,1,0,0
516,2,2014-09-30,8982,1002,1,1,0,0
517,2,2014-09-30,8900,867,1,1,0,0
519,2,2014-09-30,7535,667,1,1,0,0
520,2,2014-09-30,4030,410,1,1,0,0
521,2,2014-09-30,6167,431,1,1,0,0
523,2,2014-09-30,15701,1740,1,1,0,0
524,2,2014-09-30,9311,937,1,1,0,0
525,2,2014-09-30,11114,903,1,1,0,0
526,2,2014-09-30,14846,1818,1,1,0,0
527,2,2014-09-30,14277,1189,1,1,0,0
528,2,2014-09-30,17212,1306,1,1,0,0
529,2,2014-09-30,10522,880,1,1,0,0
530,2,2014-09-30,6099,996,1,1,0,0
531,2,2014-09-30,5597,626,1,1,0,0
532,2,2014-09-30,11769,1334,1,1,0,0
533,2,2014-09-30,11650,1002,1,1,0,0
535,2,2014-09-30,10614,1107,1,1,0,0
536,2,2014-09-30,12683,1231,1,1,0,0
537,2,2014-09-30,8342,783,1,1,0,0
538,2,2014-09-30,4769,625,1,1,0,0
541,2,2014-09-30,9829,1086,1,1,0,0
543,2,2014-09-30,4809,352,1,1,0,0
544,2,2014-09-30,25318,2626,1,1,0,0
545,2,2014-09-30,15806,1339,1,1,0,0
546,2,2014-09-30,15767,1705,1,1,0,0
548,2,2014-09-30,6644,472,1,1,0,0
549,2,2014-09-30,5236,609,1,1,0,0
550,2,2014-09-30,7917,563,1,1,0,0
551,2,2014-09-30,10226,1308,1,1,0,0
552,2,2014-09-30,13772,1048,1,1,0,0
553,2,2014-09-30,9009,675,1,1,0,0
554,2,2014-09-30,5547,664,1,1,0,0
556,2,2014-09-30,11486,1132,1,1,0,0
557,2,2014-09-30,6099,775,1,1,0,0
558,2,2014-09-30,3869,503,1,1,0,0
559,2,2014-09-30,10228,1113,1,1,0,0
560,2,2014-09-30,17842,1877,1,1,0,0
561,2,2014-09-30,8159,760,1,1,0,0
562,2,2014-09-30,19377,3171,1,1,0,0
563,2,2014-09-30,9206,936,1,1,0,0
564,2,2014-09-30,7283,578,1,1,0,0
565,2,2014-09-30,9714,985,1,1,0,0
566,2,2014-09-30,7674,724,1,1,0,0
567,2,2014-09-30,8670,920,1,1,0,0
568,2,2014-09-30,6201,486,1,1,0,0
569,2,2014-09-30,5018,704,1,1,0,0
570,2,2014-09-30,6573,839,1,1,0,0
572,2,2014-09-30,9364,682,1,1,0,0
574,2,2014-09-30,10514,725,1,1,0,0
576,2,2014-09-30,9886,1159,1,1,0,0
577,2,2014-09-30,5729,550,1,1,0,0
578,2,2014-09-30,10312,882,1,1,0,0
579,2,2014-09-30,11857,1113,1,1,0,0
580,2,2014-09-30,12164,1654,1,1,0,0
581,2,2014-09-30,8394,773,1,1,0,0
582,2,2014-09-30,8787,965,1,1,0,0
583,2,2014-09-30,5612,539,1,1,0,0
584,2,2014-09-30,6376,477,1,1,0,0
585,2,2014-09-30,6965,935,1,1,0,0
586,2,2014-09-30,17883,2539,1,1,0,0
588,2,2014-09-30,7391,729,1,1,0,0
589,2,2014-09-30,7367,688,1,1,0,0
590,2,2014-09-30,6458,424,1,1,0,0
591,2,2014-09-30,6910,598,1,1,0,0
592,2,2014-09-30,6464,718,1,1,0,0
593,2,2014-09-30,10341,1228,1,1,0,0
594,2,2014-09-30,5617,561,1,1,0,0
595,2,2014-09-30,19064,1979,1,1,0,0
596,2,2014-09-30,5391,766,1,1,0,0
597,2,2014-09-30,7576,924,1,1,0,0
599,2,2014-09-30,10940,910,1,1,0,0
600,2,2014-09-30,9613,710,1,1,0,0
601,2,2014-09-30,7944,509,1,1,0,0
602,2,2014-09-30,8256,715,1,1,0,0
603,2,2014-09-30,11521,1295,1,1,0,0
605,2,2014-09-30,10020,668,1,1,0,0
606,2,2014-09-30,7667,732,1,1,0,0
607,2,2014-09-30,7454,666,1,1,0,0
608,2,2014-09-30,17026,1542,1,1,0,0
609,2,2014-09-30,6229,623,1,1,0,0
610,2,2014-09-30,6001,665,1,1,0,0
613,2,2014-09-30,9723,1149,1,1,0,0
614,2,2014-09-30,8005,1016,1,1,0,0
615,2,2014-09-30,11115,1308,1,1,0,0
616,2,2014-09-30,11098,977,1,1,0,0
617,2,2014-09-30,10858,866,1,1,0,0
618,2,2014-09-30,8071,572,1,1,0,0
621,2,2014-09-30,7634,956,1,1,0,0
622,2,2014-09-30,5561,480,1,1,0,0
623,2,2014-09-30,12037,1191,1,1,0,0
624,2,2014-09-30,9327,787,1,1,0,0
625,2,2014-09-30,8149,756,1,1,0,0
626,2,2014-09-30,11335,918,1,1,0,0
627,2,2014-09-30,7033,692,1,1,0,0
628,2,2014-09-30,10710,1095,1,1,0,0
630,2,2014-09-30,9594,1053,1,1,0,0
631,2,2014-09-30,7213,748,1,1,0,0
632,2,2014-09-30,8137,922,1,1,0,0
634,2,2014-09-30,9155,823,1,1,0,0
635,2,2014-09-30,9940,896,1,1,0,0
639,2,2014-09-30,6873,621,1,1,0,0
640,2,2014-09-30,15520,1077,1,1,0,0
641,2,2014-09-30,8102,662,1,1,0,0
642,2,2014-09-30,4744,544,1,1,0,0
643,2,2014-09-30,11699,1313,1,1,0,0
645,2,2014-09-30,13873,1521,1,1,0,0
647,2,2014-09-30,8414,877,1,1,0,0
648,2,2014-09-30,7662,646,1,1,0,0
649,2,2014-09-30,5174,485,1,1,0,0
651,2,2014-09-30,9683,1016,1,1,0,0
652,2,2014-09-30,8821,812,1,1,0,0
653,2,2014-09-30,6940,563,1,1,0,0
654,2,2014-09-30,9396,888,1,1,0,0
655,2,2014-09-30,12055,955,1,1,0,0
656,2,2014-09-30,5672,545,1,1,0,0
657,2,2014-09-30,12534,1220,1,1,0,0
658,2,2014-09-30,8225,728,1,1,0,0
659,2,2014-09-30,7207,759,1,1,0,0
661,2,2014-09-30,9310,721,1,1,0,0
662,2,2014-09-30,12901,989,1,1,0,0
663,2,2014-09-30,7587,813,1,1,0,0
664,2,2014-09-30,7651,772,1,1,0,0
665,2,2014-09-30,11938,1507,1,1,0,0
666,2,2014-09-30,8627,756,1,1,0,0
667,2,2014-09-30,10663,866,1,1,0,0
668,2,2014-09-30,11803,1364,1,1,0,0
672,2,2014-09-30,10881,1481,1,1,0,0
673,2,2014-09-30,8561,664,1,1,0,0
674,2,2014-09-30,12120,1305,1,1,0,0
675,2,2014-09-30,7391,624,1,1,0,0
676,2,2014-09-30,8794,1872,1,1,0,0
678,2,2014-09-30,12777,1254,1,1,0,0
679,2,2014-09-30,11268,1160,1,1,0,0
680,2,2014-09-30,6090,846,1,1,0,0
681,2,2014-09-30,5384,651,1,1,0,0
682,2,2014-09-30,15597,2163,1,1,0,0
683,2,2014-09-30,10941,984,1,1,0,0
685,2,2014-09-30,9080,784,1,1,0,0
686,2,2014-09-30,9362,1019,1,1,0,0
687,2,2014-09-30,10877,864,1,1,0,0
